year,state,gdp_def_percent_change_year_ago
1978,NEW HAMPSHIRE,6.4799634387756155
1979,NEW HAMPSHIRE,6.746795890638846
1980,NEW HAMPSHIRE,8.064220276127632
1981,NEW HAMPSHIRE,8.666262322466768
1982,NEW HAMPSHIRE,6.694982035428376
1983,NEW HAMPSHIRE,4.08509599292175
1984,NEW HAMPSHIRE,4.334703331479273
1985,NEW HAMPSHIRE,2.8666590662982605
1986,NEW HAMPSHIRE,3.872509441972727
1987,NEW HAMPSHIRE,2.564272590929484
1988,NEW HAMPSHIRE,2.8907420463943234
1989,NEW HAMPSHIRE,3.8142199964182666
1990,NEW HAMPSHIRE,3.695328741409165
1991,NEW HAMPSHIRE,3.6077695916769903
1992,NEW HAMPSHIRE,2.324090813065438
1993,NEW HAMPSHIRE,2.667898191694751
1994,NEW HAMPSHIRE,2.1428925145583477
1995,NEW HAMPSHIRE,1.5555269462997678
1996,NEW HAMPSHIRE,0.7126860240174615
1997,NEW HAMPSHIRE,0.8613855083534627
1978,PENNSYLVANIA,7.119888338544755
1979,PENNSYLVANIA,7.4289902922106466
1980,PENNSYLVANIA,8.094515496342435
1981,PENNSYLVANIA,8.489541836953363
1982,PENNSYLVANIA,6.604062531468302
1983,PENNSYLVANIA,4.149308323551071
1984,PENNSYLVANIA,4.3741359407758695
1985,PENNSYLVANIA,3.1468219017803944
1986,PENNSYLVANIA,4.006883221682056
1987,PENNSYLVANIA,2.6595564808327143
1988,PENNSYLVANIA,3.668018290903796
1989,PENNSYLVANIA,3.9906009771850437
1990,PENNSYLVANIA,3.606635655050816
1991,PENNSYLVANIA,3.7583150809781474
1992,PENNSYLVANIA,2.6871568417173197
1993,PENNSYLVANIA,2.789154435914809
1994,PENNSYLVANIA,2.397508345404775
1995,PENNSYLVANIA,2.162488294705911
1996,PENNSYLVANIA,1.1689951511166807
1997,PENNSYLVANIA,1.6370118587436755
1978,MISSOURI,7.050663528042023
1979,MISSOURI,6.95555653436597
1980,MISSOURI,7.7817495864848985
1981,MISSOURI,8.80532427984415
1982,MISSOURI,6.411977156247861
1983,MISSOURI,4.6011932353522855
1984,MISSOURI,4.747066902251973
1985,MISSOURI,2.9904468911902127
1986,MISSOURI,4.095251638316144
1987,MISSOURI,2.6452734988314353
1988,MISSOURI,3.1591780391878377
1989,MISSOURI,3.7469828157514096
1990,MISSOURI,3.29608901968792
1991,MISSOURI,3.805634116356882
1992,MISSOURI,2.564087189029096
1993,MISSOURI,2.7992732837008205
1994,MISSOURI,2.532216367857254
1995,MISSOURI,2.0759962358137596
1996,MISSOURI,1.6984990312686632
1997,MISSOURI,1.356362743563877
1978,KANSAS,8.282920491245171
1979,KANSAS,8.473737095272549
1980,KANSAS,8.934918287709603
1981,KANSAS,9.821030895807748
1982,KANSAS,5.647255140565233
1983,KANSAS,4.615747608338716
1984,KANSAS,4.354504401638981
1985,KANSAS,1.8865377979386144
1986,KANSAS,2.4264421210868026
1987,KANSAS,2.197782308670626
1988,KANSAS,3.0550171010794935
1989,KANSAS,3.7502885404793407
1990,KANSAS,3.8409848215349873
1991,KANSAS,3.0368813655837767
1992,KANSAS,2.4243031954962024
1993,KANSAS,2.864465737876465
1994,KANSAS,2.206396240567421
1995,KANSAS,1.9035459574535452
1996,KANSAS,2.3496127824455204
1997,KANSAS,1.0702983936187183
1978,MISSISSIPPI,8.129614170725352
1979,MISSISSIPPI,8.53677533071384
1980,MISSISSIPPI,8.729901198686552
1981,MISSISSIPPI,8.76616402086372
1982,MISSISSIPPI,5.80699636009494
1983,MISSISSIPPI,3.303941480185313
1984,MISSISSIPPI,3.6039459606472146
1985,MISSISSIPPI,2.0150383445284525
1986,MISSISSIPPI,2.6058915445537734
1987,MISSISSIPPI,1.521459555829896
1988,MISSISSIPPI,3.5234963773351557
1989,MISSISSIPPI,3.734748073897798
1990,MISSISSIPPI,3.735538479450251
1991,MISSISSIPPI,3.1584946440449624
1992,MISSISSIPPI,2.1873366668848426
1993,MISSISSIPPI,3.0361191369006724
1994,MISSISSIPPI,2.0948521556756416
1995,MISSISSIPPI,1.5122546430509587
1996,MISSISSIPPI,1.4483961545333601
1997,MISSISSIPPI,1.3391901510787507
1978,HAWAII,7.122835718618825
1979,HAWAII,7.512715097179146
1980,HAWAII,8.894498965100016
1981,HAWAII,9.847203094696555
1982,HAWAII,6.666052028017377
1983,HAWAII,5.475799723635499
1984,HAWAII,6.840858333389632
1985,HAWAII,4.714876203247131
1986,HAWAII,4.727480686302932
1987,HAWAII,3.5475829665729375
1988,HAWAII,3.34986278497027
1989,HAWAII,3.646205878124942
1990,HAWAII,3.410200702540145
1991,HAWAII,4.0613733995250145
1992,HAWAII,2.382029615049741
1993,HAWAII,3.395591750991356
1994,HAWAII,2.0338142613057775
1995,HAWAII,2.2859949215083386
1996,HAWAII,2.0400634904827353
1997,HAWAII,2.643437570492546
1978,IDAHO,8.639769066370896
1979,IDAHO,7.715338772710911
1980,IDAHO,6.146521064920529
1981,IDAHO,7.166205566199091
1982,IDAHO,4.343837269799655
1983,IDAHO,5.5576677130229735
1984,IDAHO,4.493351751784713
1985,IDAHO,1.346516870544412
1986,IDAHO,3.367586995548999
1987,IDAHO,3.3523988057021725
1988,IDAHO,3.630068145700771
1989,IDAHO,3.971388582070934
1990,IDAHO,2.739795796994837
1991,IDAHO,2.5147008169058127
1992,IDAHO,2.3379416772274286
1993,IDAHO,2.994303992111469
1994,IDAHO,2.072493505594508
1995,IDAHO,0.6859157836806906
1996,IDAHO,0.795353030297985
1997,IDAHO,0.04392244748328
1978,VERMONT,7.070501121288153
1979,VERMONT,6.816829942666058
1980,VERMONT,7.462807731776677
1981,VERMONT,8.463777974137932
1982,VERMONT,6.319574085790491
1983,VERMONT,4.7243468141269895
1984,VERMONT,4.71491701820268
1985,VERMONT,3.0716403498054934
1986,VERMONT,4.008579835202286
1987,VERMONT,3.096123118250871
1988,VERMONT,3.1050365669841318
1989,VERMONT,3.6696654415771413
1990,VERMONT,3.2251247592705923
1991,VERMONT,3.307426306905681
1992,VERMONT,2.060558484161823
1993,VERMONT,2.441322040087046
1994,VERMONT,1.950354055529413
1995,VERMONT,1.2421414662259211
1996,VERMONT,1.1507027606153075
1997,VERMONT,1.1347836754723284
1978,INDIANA,7.155721223677602
1979,INDIANA,7.166346119345879
1980,INDIANA,7.389736887357179
1981,INDIANA,8.619127197709275
1982,INDIANA,6.225718523035706
1983,INDIANA,4.2340314836438075
1984,INDIANA,4.260448589379351
1985,INDIANA,2.037091778351785
1986,INDIANA,3.747719023471574
1987,INDIANA,2.148331911383883
1988,INDIANA,3.407475179880559
1989,INDIANA,3.9830630487421192
1990,INDIANA,3.0153455513460825
1991,INDIANA,3.3930169215249384
1992,INDIANA,2.233287269038109
1993,INDIANA,2.7605616662274235
1994,INDIANA,2.3064106406216034
1995,INDIANA,1.7737176384866826
1996,INDIANA,1.1809416172557707
1997,INDIANA,1.054814616473232
1978,ALABAMA,7.402565811401107
1979,ALABAMA,7.4932671648191285
1980,ALABAMA,7.882735676346719
1981,ALABAMA,9.372111307320896
1982,ALABAMA,6.426162498355481
1983,ALABAMA,4.185139058530218
1984,ALABAMA,4.54848519904083
1985,ALABAMA,2.784003429199733
1986,ALABAMA,3.2336928205202398
1987,ALABAMA,2.584083738377152
1988,ALABAMA,3.583284833455669
1989,ALABAMA,3.7415887083921406
1990,ALABAMA,3.0032840597222554
1991,ALABAMA,3.2941688489797283
1992,ALABAMA,2.459957015527614
1993,ALABAMA,2.5191591199600794
1994,ALABAMA,2.460433595316047
1995,ALABAMA,2.8549240659191177
1996,ALABAMA,1.0563890077128102
1997,ALABAMA,1.2316030910900944
1978,MARYLAND,6.583893720277945
1979,MARYLAND,7.109234648033169
1980,MARYLAND,8.484630723407882
1981,MARYLAND,9.63040492098568
1982,MARYLAND,7.04861550191036
1983,MARYLAND,5.305398642527215
1984,MARYLAND,5.288847469132385
1985,MARYLAND,3.992457463052923
1986,MARYLAND,4.058560174240933
1987,MARYLAND,3.6105676431704703
1988,MARYLAND,3.6699836970230493
1989,MARYLAND,3.851721867833624
1990,MARYLAND,3.8200186982868534
1991,MARYLAND,4.213309171621238
1992,MARYLAND,2.723974054184053
1993,MARYLAND,3.2745726038589273
1994,MARYLAND,2.411571952604641
1995,MARYLAND,2.6308938031085027
1996,MARYLAND,1.8371022836009665
1997,MARYLAND,1.9763747982217916
1978,KENTUCKY,7.317931457686688
1979,KENTUCKY,6.9588187864673134
1980,KENTUCKY,7.011687672222022
1981,KENTUCKY,8.024855601496771
1982,KENTUCKY,6.500602915750919
1983,KENTUCKY,4.378748020566925
