year,y_votes_percent,fair_p_1,def_mt_2,def_mt_1,gdp_mt_2,gdp_mt_1,fair_g_1,z_4,z_3,z_2,z_1,z_mt_2,z_mt_1,incumbent,former_president_again,former_party_morethan_2,sudden_vice,lag_vice,house_midterm,avg_inc_mt_2,avg_inc_mt_1,unemp_rn,satias,gdp_mt_1_pw2,avg_inc_mt_1_pw2,def_mt_1_pw2,gdp_mt_2_pw2,avg_inc_mt_2_pw2,def_mt_2_pw2,fair_z_1,was_a_vice,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,state,y_hat_fr,y_hat_ds
1984,38.736603,-26.788107,-8.9239845,-16.400541,-9.8969193,.69399822,-4.7194118,-1,-1,0,0,-1,0,-1,-1,0,0,0,1,-16.997412,-16.526329,-11.1,-1,.48163351,273.11954,268.97775,97.949013,288.91202,79.637497,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ALABAMA,34.352829,32.799965
1988,40.254433,-12.750028,-6.2599635,-6.1077223,-10.662169,-5.7839375,-4.8925047,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,1,-12.959175,-12.675147,-7.3000002,-1,33.453934,160.65935,37.304272,113.68185,167.94022,39.187141,-3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ALABAMA,38.254002,38.749126
1992,46.178875,-13.092535,-5.8351612,-6.8572435,-7.2194819,-1.5258007,-4.2946973,-1,0,0,0,-1,0,-1,-1,-1.25,0,0,1,-10.856818,-14.876512,-7.5,-1,2.3280678,221.31059,47.02179,52.120918,117.8705,34.049107,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ALABAMA,44.3326,45.230572
1996,46.266129,9.1817598,3.9414723,5.041575,6.9366932,5.5550423,3.4230428,1,1,1,0,1,1,1,1,0,0,0,-1,8.7105446,7.9281125,5.0999999,0,30.858494,62.854969,25.417479,48.117714,75.873589,15.535204,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ALABAMA,45.267979,44.914028
2000,42.393059,-22.829924,3.4530263,-25.405685,5.116796,103.41295,1.4984487,0,1,1,1,1,1,1,0,1,1,0,-1,7.2260456,9.8788176,4.5999999,-1,10694.238,97.591034,645.44885,26.181601,52.215736,11.92339,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ALABAMA,37.344734,38.503563
2004,37.10223,-9.7084799,-5.2230306,-4.2628016,-10.099961,-2.0360472,-6.958138,-1,0,0,0,-1,0,-1,-1,0,0,0,-1,-10.862446,-5.5212703,-5.5,0,4.1454883,30.484425,18.171478,102.00922,117.99273,27.280048,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ALABAMA,36.540894,37.695133
2008,39.109097,-11.627209,-5.0218763,-6.2894826,.17306489,-6.0273461,1.0877105,0,0,0,-1,0,-1,-1,0,-1,0,0,-1,-6.7007689,-10.691425,-6.0999999,1,36.328903,114.30657,39.55759,.029951455,44.900303,25.219242,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ALABAMA,41.925308,43.481457
2012,38.783772,7.1166353,4.2049274,2.7942133,2.4596865,-1.2005026,.87401348,0,0,0,0,0,0,1,1,0,0,0,-1,5.9741483,1.1315249,8.1000004,-1,1.4412066,1.2803487,7.8076282,6.0500579,35.690449,17.681416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ALABAMA,42.228401,41.114292
2016,35.625858,6.734787,2.6685176,3.9605806,2.3158596,.33860779,1.5410651,0,0,0,0,0,0,1,0,1,0,0,-1,5.7270489,3.8675261,5.9000001,-1,.11465523,14.957758,15.686198,5.3632054,32.799088,7.120986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ALABAMA,39.932026,38.64999
2020,37.088627,-7.9599409,-3.275033,-4.5363417,1.9396328,-3.3544228,3.1850111,0,0,0,0,0,0,-1,-1,0,0,1,-1,-9.8067474,-7.0917139,-7.0999999,1,11.252152,50.292408,20.578396,3.7621753,96.172295,10.725842,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ALABAMA,41.359905,40.400558
1984,30.944088,-30.073593,-.21951304,-29.788691,-1.1713158,-18.284477,-3.9950275,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1.4260708,-25.25956,-9.8000002,0,334.32211,638.04535,887.36609,1.3719807,2.0336781,.048185978,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ALASKA,33.25922,34.282093
