"GeoFips","GeoName","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"01000","Alabama",7343.1,8219.6,8994.3,9847.2,10052.7,10976.6,11865.9,12474.8,13623.6,15356.3,17428.4,19453.6,21346.0,24324.0,26724.9,30546.5,33711.9,36142.5,40257.4,41778.1,45678.6,50010.1,53823.6,56133.8,60751.8,66007.5,68394.4,71610.0,76043.3,81260.1,84562.8,90098.5,95819.1,100145.9,104805.2
"02000","Alaska",1083.1,1229.9,1374.3,1494.0,1642.8,1899.5,2073.5,2359.2,2539.5,2742.6,3040.7,3998.9,6220.1,7470.3,7544.3,9129.8,10891.4,15281.8,21823.6,23460.6,22591.2,23787.5,26142.5,19180.7,22925.4,21270.0,23453.3,25039.5,22282.5,22752.8,23284.2,23604.7,25448.8,26736.9,27581.3
"04000","Arizona",4482.1,4817.0,5027.5,5527.3,5783.4,6593.4,7563.2,8569.0,9649.0,11291.9,13329.8,14611.3,15284.3,16970.0,19609.2,23278.5,27495.4,30764.3,34268.6,35793.7,39774.0,46135.0,50708.7,55880.9,60046.7,64944.6,67895.5,70631.7,73358.3,82682.2,89299.8,100374.2,109905.7,119530.2,129279.1
"05000","Arkansas",3791.2,4147.9,4445.8,4867.8,5131.7,5704.3,6231.9,6666.6,7440.2,8494.1,9886.4,10865.2,11942.0,13704.4,15182.3,17477.1,19099.1,20275.6,22890.8,23527.0,25291.9,28464.7,29325.7,30798.5,32663.6,35004.5,37127.6,38679.8,41571.7,45017.8,47566.0,51415.9,54611.8,57976.4,60332.9
"06000","California",67808.6,73512.7,78252.7,84627.5,89570.7,98721.0,106629.3,111984.6,120372.3,133142.6,147230.7,161815.4,178393.9,197346.7,229592.0,262802.6,293491.4,327958.5,368808.4,393787.7,426143.2,482166.1,523905.8,563081.9,615359.5,671575.0,722978.9,773460.0,790045.6,807358.4,826446.9,861360.0,911576.8,964185.5,1037091.2
"08000","Colorado",5925.2,6227.9,6631.3,7274.8,7665.8,8540.1,9479.9,10431.4,11998.0,13784.0,16119.9,17852.3,20165.9,22253.4,25428.4,29398.1,33784.7,38332.3,43974.1,47654.0,50717.6,56230.0,59640.7,60969.7,63919.8,67757.3,71179.2,75570.5,79766.2,87302.1,95658.7,104506.8,112707.9,121081.0,133203.8
"09000","Connecticut",9876.7,10550.8,11455.5,12812.3,13595.1,14303.2,15627.5,16347.0,17128.8,18798.6,20808.2,22502.4,23975.8,26233.5,29597.5,33230.9,36854.5,40770.4,45641.6,50196.2,55528.1,63617.9,69231.3,75305.4,82983.7,90706.7,95830.7,100169.0,101474.7,105758.8,107680.0,113115.1,123212.2,129111.3,140279.6
"10000","Delaware",1885.0,2068.2,2313.4,2482.0,2605.1,2884.1,3068.6,3165.8,3623.4,3984.2,4516.3,4737.1,5025.5,5470.1,6055.9,6747.4,7304.2,7898.2,8838.8,9498.5,10611.0,11925.2,13092.4,14138.1,15567.9,16887.4,18900.3,19928.3,21746.0,22907.1,23508.6,25637.9,27720.9,29156.5,31450.2
"11000","District of Columbia",5136.6,5552.5,6037.4,6454.3,7183.1,7748.9,8095.8,8558.9,9180.0,9895.6,10400.0,11424.4,12711.5,13945.3,15580.5,16953.0,18417.0,19862.2,21739.9,22958.1,24572.7,26583.8,28534.5,30078.6,32129.3,35225.5,37469.1,39688.4,41430.0,43186.5,45356.2,46654.8,47093.9,47822.9,49701.8
"12000","Florida",14684.0,16024.6,17444.5,19181.7,21122.9,23792.8,27427.5,30691.1,34161.0,39708.7,46972.7,52123.3,55288.1,58728.8,65272.2,75681.0,86263.0,97898.8,112166.8,122281.9,136768.3,155993.5,170893.8,185852.0,204816.4,224848.2,241633.2,256589.3,267669.1,284672.6,304403.0,327167.4,346951.2,370912.5,393074.5
"13000","Georgia",10318.3,11252.6,12519.4,13807.8,14711.0,16424.1,18081.7,19365.0,21570.3,24609.8,28225.9,30377.9,31994.6,36424.6,40785.3,46153.9,51550.0,56228.6,63750.7,68451.2,76737.6,88466.4,98222.5,108088.9,117032.8,126565.2,133793.9,140646.1,147759.8,160061.8,171658.9,187995.6,203397.1,219989.0,235200.1
"15000","Hawaii",2366.8,2571.5,2848.8,3109.9,3307.3,3721.5,4262.0,4812.6,5187.7,5624.0,6352.6,7143.3,8172.7,8526.1,9440.9,10508.5,11869.0,13380.3,14639.5,15740.4,17260.3,19132.3,20721.7,22437.0,24272.6,26799.0,29427.2,32534.3,34356.7,36129.5,36732.4,37394.9,37763.1,38124.6,39064.1
"16000","Idaho",1841.1,1946.4,2197.3,2272.5,2334.5,2497.1,2749.9,3014.9,3265.3,3773.0,4481.4,5186.2,5834.7,6590.7,7205.9,8449.7,9285.9,9915.8,10677.4,10689.3,11834.2,12585.9,13043.9,13220.2,13996.0,15285.3,16908.6,18004.2,18851.7,20631.6,23099.8,25455.5,27762.4,28914.6,30311.7
"17000","Illinois",39513.8,42478.4,45977.7,50435.4,52816.8,56331.2,60840.0,62763.4,67378.9,73501.0,81285.5,88069.7,95879.7,104819.3,115076.9,128121.9,139252.7,145264.4,159649.3,164266.6,173119.3,194244.3,206281.1,218695.6,231210.1,252196.8,266607.9,279019.1,288473.5,306236.3,320078.9,347971.5,364450.7,383504.1,408047.8
"18000","Indiana",15636.3,16723.0,18518.5,20048.9,20951.1,22646.0,24212.2,24545.7,26882.3,29953.9,33972.2,35605.7,37677.3,43774.8,47901.4,53729.2,57917.5,58870.5,64724.3,64982.0,69334.8,78858.8,82010.6,86437.5,91650.5,99492.5,107198.7,110859.6,114637.0,124714.3,132108.2,143335.2,150403.9,158350.1,167366.3
"19000","Iowa",7921.2,8349.6,9196.3,10202.2,10617.1,11272.9,12331.6,12957.3,13666.2,15311.4,18502.3,19341.4,21992.9,24436.5,27011.4,30763.4,33496.0,34582.3,38272.1,37289.3,37480.8,41264.0,42431.0,43225.9,45282.8,49088.5,52907.1,56121.5,57944.2,61870.3,63385.5,70161.0,73136.6,78819.2,83113.2
"20000","Kansas",6134.5,6418.2,6831.2,7400.6,7760.4,8487.3,9165.7,9754.8,10824.5,12126.5,13999.6,15063.3,16854.8,18953.1,20538.6,22824.0,26300.4,28298.2,31978.3,33491.4,35257.1,38442.1,40658.3,41794.8,44163.8,46698.1,48814.0,51873.7,53980.7,56901.7,58953.2,63304.1,65281.9,69616.1,74146.8
"21000","Kentucky",8355.1,8773.9,9518.1,10378.0,11041.2,12212.4,13206.2,13942.7,15568.2,16915.3,18903.1,21173.4,22809.9,26040.1,29176.5,32682.5,35838.0,37017.0,41068.1,42183.7,44091.8,49344.1,51892.8,53199.0,56282.2,61850.5,65525.5,68412.1,71679.2,77531.4,81618.1,87645.7,91914.7,96616.8,103621.2
"22000","Louisiana",9658.5,10468.4,11453.3,12774.5,14022.4,15075.9,16321.0,17176.6,18633.8,20293.7,22735.0,26892.3,30675.2,34412.8,39670.3,45212.1,51653.2,63925.5,77200.7,78066.8,76880.6,82622.6,84391.1,77107.4,78487.9,83195.9,87574.1,95177.1,96043.2,90889.7,95866.4,105118.9,112875.7,118807.2,126003.3
"23000","Maine",2420.5,2603.9,2807.0,3001.5,3153.5,3406.2,3694.7,3959.0,4207.2,4624.6,5202.7,5602.9,5995.6,6968.2,7647.2,8448.8,9335.0,10263.0,11255.0,12114.7,13238.6,14897.0,16045.7,17382.4,19166.2,21371.1,22669.6,23256.1,23378.6,24329.4,25201.9,26543.5,28152.6,29255.9,30774.7
"24000","Maryland",10260.9,11171.4,12263.1,13562.6,14318.7,15852.5,17385.1,18720.1,20501.2,22644.4,25111.8,27381.3,29596.7,32612.4,35555.2,39525.6,43627.7,47522.4,53117.1,56339.0,62205.1,69919.6,76878.3,83743.6,91380.5,101280.3,107444.0,112834.8,115427.6,119535.3,125515.4,133311.3,139070.1,145023.1,154782.9
"25000","Massachusetts",17414.8,18625.2,19997.2,21837.4,23275.3,25225.9,27475.6,29052.1,30988.5,33806.5,36911.7,39313.4,41910.2,45498.0,50718.9,56883.4,62964.5,69684.1,77833.0,83777.1,93053.6,106424.9,116612.7,127155.3,138899.5,151625.5,158199.6,159504.9,160727.6,167434.9,173527.4,185710.2,196408.7,210630.5,226879.6
"26000","Michigan",30466.4,32574.7,37000.0,39260.3,40024.7,44727.3,47894.5,46178.3,51704.2,56579.1,62907.4,63034.4,67045.6,78770.1,89325.9,99335.3,105413.4,104134.5,114676.3,115166.4,127754.0,143677.7,153604.8,163458.0,169236.9,180620.7,190626.0,193102.7,197717.2,212056.8,226368.0,251483.9,256614.9,270319.7,286408.4
"27000","Minnesota",10744.6,11353.4,12479.8,13746.6,14616.2,16148.6,17680.8,18699.5,20035.4,21924.9,26001.0,27689.2,29683.0,32839.9,36830.4,41641.0,46861.2,50218.6,55404.3,57472.0,61950.4,71368.6,75831.7,79449.7,85364.8,91896.4,98312.7,102756.6,106102.5,114517.8,117947.4,128167.2,135124.1,145880.3,156649.5
