"GeoFips","GeoName","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"01000","Alabama",59478.4,63298.0,64987.6,64582.3,65771.0,64134.1,67305.0,70481.4,73801.3,74558.0,78659.1,82507.5,82407.7,83766.4,86115.5,89813.9,91167.6,94803.1,98023.9,101379.3,104805.2
"02000","Alaska",16933.3,18450.3,19360.9,22439.8,25865.6,26542.8,25822.1,26853.7,29833.8,24956.8,29525.4,27843.4,28985.5,28772.4,25821.4,26150.7,26047.8,26187.9,27608.5,27271.2,27581.3
"04000","Arizona",44588.9,49253.9,53887.8,55560.6,57106.1,55762.7,58949.6,65288.2,69446.7,73546.0,76599.8,80258.3,80971.1,81606.3,81945.8,90282.0,94916.4,104104.4,112019.5,120868.5,129279.1
"05000","Arkansas",32633.1,34765.4,35288.5,34773.1,36018.1,35055.0,36179.0,39015.1,39403.4,40177.1,41566.0,43158.4,44011.8,44496.2,46497.8,49260.3,50756.0,53640.5,55836.1,58346.3,60332.9
"06000","California",523795.5,559842.6,581985.9,599506.9,619242.6,619419.8,641584.7,693094.9,728599.0,756165.8,802816.2,848272.5,880307.0,906102.9,893112.2,891630.9,888069.6,904778.2,940599.3,978299.5,1037091.2
"08000","Colorado",59266.9,63806.1,67937.4,70410.3,73467.1,74962.0,75946.6,80299.3,82357.2,81844.9,83322.2,85880.0,86897.7,88932.5,90780.1,97058.4,103456.6,110528.9,116820.7,123144.2,133203.8
"09000","Connecticut",70360.8,74245.9,77143.6,78644.1,80480.1,82537.9,86662.9,94619.0,99671.2,104257.6,112210.4,119046.6,120606.9,121175.6,118215.9,119831.9,118314.6,121001.5,128538.1,131912.8,140279.6
"10000","Delaware",15636.0,16318.2,16419.7,16125.7,16455.8,16640.4,17959.2,19290.3,20491.9,21067.7,22562.9,23599.2,25312.1,25887.4,26929.5,27177.7,26946.0,28749.8,29941.3,30503.0,31450.2
"11000","District of Columbia",44477.0,45508.5,46086.5,45655.3,44855.8,43539.0,43964.7,44879.6,45562.7,45847.6,47148.6,49205.5,50146.3,51174.6,50240.5,50597.6,51310.1,51289.9,49888.7,49232.1,49701.8
"12000","Florida",154583.7,167311.5,178161.0,186914.3,195993.0,200771.9,212494.5,230406.9,242869.9,253650.7,270018.4,286785.8,297214.7,304324.4,305979.1,317416.4,329410.2,345550.3,358418.8,376851.4,393074.5
"13000","Georgia",91572.4,97101.4,101778.8,102952.1,107313.7,108941.5,116030.2,127322.6,136869.3,144853.2,152162.8,158945.8,162167.0,165062.2,167209.2,176730.9,184788.5,198125.0,209291.7,223306.9,235200.1
"15000","Hawaii",23679.9,24605.1,25848.7,26759.9,26653.6,26867.0,27931.8,28978.8,29973.0,30989.1,32375.8,34587.0,36642.9,39175.9,39755.7,40834.4,40152.4,40061.8,39552.1,39132.4,39064.1
"16000","Idaho",14817.0,15992.8,16316.6,16414.5,16493.3,15824.3,16596.8,16892.0,17274.1,16937.2,17349.5,18284.0,19453.2,20161.3,20592.5,22021.9,23939.6,25845.3,27995.5,28927.3,30311.7
"17000","Illinois",253087.4,263863.0,268070.8,258832.1,262248.1,253051.5,255785.5,274171.0,282223.7,288439.3,297698.3,314484.6,320572.0,324011.9,323640.5,336296.0,343469.6,364916.1,374858.3,389704.0,408047.8
"18000","Indiana",102597.9,107395.3,108025.5,102247.2,103493.9,97816.2,100128.9,109229.2,111327.0,113097.8,117396.6,123242.1,127701.4,128196.9,128214.7,136438.5,140644.9,149157.2,153785.3,160020.4,167366.3
"19000","Iowa",53650.3,56703.6,57911.3,56386.8,58096.7,54248.3,52043.1,54893.2,56009.1,55262.1,56536.4,59479.1,61635.5,63460.1,63818.2,66861.6,66912.9,72502.9,74568.3,78834.1,83113.2
"20000","Kansas",46101.0,47312.0,50259.4,49641.7,51080.8,50638.1,50955.8,53240.6,55267.3,55466.3,57349.8,58843.1,59285.9,60671.6,61275.1,63062.0,63516.2,66731.5,67530.9,70361.2,74146.8
"21000","Kentucky",61045.7,63718.4,65324.6,63052.6,64756.4,62455.5,62542.0,67270.4,69293.8,68323.1,70822.3,75562.1,77232.8,78206.3,78908.3,83287.8,85809.8,91062.9,94258.6,97781.4,103621.2
"22000","Louisiana",92827.1,97059.7,95812.3,98825.5,101476.8,97625.6,96515.0,102250.7,104077.7,103870.4,104284.2,108141.7,108116.7,110272.1,110054.6,102935.3,105295.6,114155.9,120333.3,121488.9,126003.3
