"GeoFips","GeoName","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"01000","Alabama",3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33963,35101,35992,36258,37384,38954,39525,40864,42328,43996,46479
"02000","Alaska",6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49654,52581,53729,52843,55910,57629,56341,57352,59871,61742,63502
"04000","Arizona",4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24173,24960,26388,27008,27353,28393,30221,32327,34703,35872,35748,33524,33848,35175,36272,36739,38211,39635,40618,42267,44071,45808,49648
"05000","Arkansas",3504,4069,4453,4769,5247,5736,6546,7090,7597,8592,9024,9513,10543,11165,11708,12139,13022,13946,14622,15299,16438,16956,17758,18602,19458,20187,21208,21871,22781,23873,24306,25595,27059,28227,29617,31303,32306,31472,32367,34253,36533,36605,38650,39842,40720,41873,43446,44788,47235
"06000","California",5652,6123,6731,7320,7975,8681,9661,10758,11945,13158,13793,14582,15895,16795,17588,18482,19605,20561,21485,21857,22678,23013,23581,24629,25912,27171,29092,30773,33410,34046,34131,35272,37070,38932,41746,43385,43567,41689,43249,45574,48154,48549,51332,54632,56667,58942,61663,64513,70192
"08000","Colorado",5064,5579,6142,6670,7211,7854,8824,9820,11019,12386,13230,13944,15030,15733,16200,16685,17643,18930,19853,20549,21625,22639,23625,24995,26336,27675,29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40785,43635,45586,47339,50706,52222,52251,55125,58267,60848,63776
"09000","Connecticut",5800,6319,6879,7367,7951,8752,9720,10908,12365,13821,14878,15798,17572,18743,20024,21693,23738,25659,26394,26588,28560,29417,30188,31780,33191,35228,37827,39700,43070,45153,44697,44997,47238,49738,53696,57684,60970,59684,61762,63229,64300,62900,65844,67761,69215,70797,73929,75794,78609
"10000","Delaware",5446,5979,6426,6844,7430,7971,8696,9547,10809,11903,12742,13431,14671,15743,16503,17575,18925,20707,21457,22247,22814,23312,23922,24902,26227,27069,29472,31181,33884,36922,37658,38065,38974,39370,41053,41733,40894,40856,40947,43990,44121,44478,46115,47997,48890,50703,53062,53793,56097
"11000","District of Columbia",6781,7246,8004,8834,9548,10469,11349,12207,13235,14279,15286,16117,17566,18567,19426,20534,22698,24276,26132,27521,29067,30349,31370,32077,33872,35739,38122,39798,43524,44871,45147,46011,50088,52947,55805,59824,60887,60143,63317,66735,67655,67066,70494,74352,76623,78116,80342,80819,86567
"12000","Florida",4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38865,40482,41475,41069,43388,45493,46253,48774,51150,53034,55675
"13000","Georgia",4203,4656,5019,5354,5881,6396,7154,7850,8602,9600,10242,11064,12316,13196,14109,14888,15959,16942,17835,18322,19360,20087,21090,22235,23475,24404,26152,27254,28851,29762,30133,30896,32034,33445,34791,35680,35438,34274,34830,36849,37507,37813,39994,41974,43074,45045,46882,48765,51780
"15000","Hawaii",6170,6643,7412,7907,8367,8828,9640,10571,11867,12711,13249,14262,15052,15824,16599,17435,18964,20897,22433,23253,24542,25133,25400,25788,25665,26334,26756,27768,29319,30229,31257,32467,34277,36375,38480,40490,41969,41082,41606,42976,44121,44378,46658,48566,50089,52222,53534,55464,58655
"16000","Idaho",4329,4885,5566,5850,6343,6726,7497,8009,8856,9600,9961,10795,11399,12004,12297,12918,13966,15232,16152,16509,17640,18688,19368,20252,21058,21506,22783,23688,25183,25799,26233,26728,28317,29392,31476,32707,32841,31281,32106,33627,35201,36229,37863,39622,40385,41905,43766,45741,48759
"17000","Illinois",5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29930,31068,33212,34299,34594,35212,36519,37975,40365,42513,43460,41180,42294,44279,46190,47285,49564,51864,52543,54252,57240,59115,62930
