DATE,CUUR0000SEHA_PC1
1970-01-01,4.01211
1970-04-01,4.12913
1970-07-01,4.08922
1970-10-01,4.33824
1971-01-01,4.65793
1971-04-01,4.90267
1971-07-01,4.71429
1971-10-01,4.22833
1972-01-01,3.75522
1972-04-01,3.36770
1972-07-01,3.34243
1972-10-01,3.31305
1973-01-01,3.95442
1973-04-01,4.18883
1973-07-01,4.48845
1973-10-01,4.84293
1974-01-01,4.77112
1974-04-01,4.85003
1974-07-01,5.05370
1974-10-01,5.30587
1975-01-01,5.29231
1975-04-01,5.17346
1975-07-01,5.11124
1975-10-01,5.09781
1976-01-01,5.14319
1976-04-01,5.43981
1976-07-01,5.60641
1976-10-01,5.47095
1977-01-01,5.78099
1977-04-01,5.87267
1977-07-01,6.01300
1977-10-01,6.36364
1978-01-01,6.35838
1978-04-01,6.79108
1978-07-01,7.00051
1978-10-01,7.34037
1979-01-01,6.96640
1979-04-01,6.74757
1979-07-01,7.40210
1979-10-01,8.10304
1980-01-01,8.54503
1980-04-01,8.91314
1980-07-01,8.98177
1980-10-01,8.92548
1981-01-01,8.93617
1981-04-01,8.85177
1981-07-01,8.56793
1981-10-01,8.39300
1982-01-01,8.24219
1982-04-01,7.67165
1982-07-01,7.59113
1982-10-01,6.93578
1983-01-01,6.56803
1983-04-01,6.19879
1983-07-01,5.48376
1983-10-01,4.90734
1984-01-01,4.60549
1984-04-01,5.13251
1984-07-01,5.36424
1984-10-01,5.65914
1985-01-01,5.95662
1985-04-01,6.03063
1985-07-01,6.09679
1985-10-01,6.47059
1986-01-01,6.11060
1986-04-01,6.22931
1986-07-01,5.86493
1986-10-01,5.14685
1987-01-01,5.03887
1987-04-01,3.85269
1987-07-01,3.86122
1987-10-01,3.76106
1988-01-01,3.81031
1988-04-01,3.87343
1988-07-01,3.79849
1988-10-01,3.75800
1989-01-01,3.64405
1989-04-01,3.83403
1989-07-01,3.91902
1989-10-01,4.13563
1990-01-01,4.02548
1990-04-01,4.24886
1990-07-01,4.42058
1990-10-01,4.16872
1991-01-01,4.01665
1991-04-01,3.90587
1991-07-01,3.32456
1991-10-01,2.95998
1992-01-01,2.99035
1992-04-01,2.52160
1992-07-01,2.12963
1992-10-01,2.39190
1993-01-01,2.21765
1993-04-01,2.45958
1993-07-01,2.49320
1993-10-01,2.17880
1994-01-01,2.48267
1994-04-01,2.24494
1994-07-01,2.47678
1994-10-01,2.55001
1995-01-01,2.40070
1995-04-01,2.54348
1995-07-01,2.41692
1995-10-01,2.42229
1996-01-01,2.51492
1996-04-01,2.56519
1996-07-01,2.73915
1996-10-01,2.76266
1997-01-01,2.76507
1997-04-01,2.89376
1997-07-01,2.93273
1997-10-01,3.05499
1998-01-01,3.11552
1998-04-01,3.15388
1998-07-01,3.28751
1998-10-01,3.41897
1999-01-01,3.37453
1999-04-01,3.25219
1999-07-01,2.97068
1999-10-01,2.98108
2000-01-01,3.35927
2000-04-01,3.39495
2000-07-01,3.74672
2000-10-01,4.00816
2001-01-01,4.05802
2001-04-01,4.48741
2001-07-01,4.60455
2001-10-01,4.65656
2002-01-01,4.62326
2002-04-01,4.15503
2002-07-01,3.69411
2002-10-01,3.27310
2003-01-01,3.06966
2003-04-01,3.00034
2003-07-01,2.92992
2003-10-01,2.72367
2004-01-01,2.48732
2004-04-01,2.62002
2004-07-01,2.78182
2004-10-01,2.82822
2005-01-01,2.98579
2005-04-01,2.94957
2005-07-01,2.92683
2005-10-01,3.10986
2006-01-01,3.06977
2006-04-01,3.34258
2006-07-01,3.73032
2006-10-01,4.10731
2007-01-01,4.54874
2007-04-01,4.42689
2007-07-01,4.06794
2007-10-01,4.00437
2008-01-01,3.74209
2008-04-01,3.61362
2008-07-01,3.73502
2008-10-01,3.55652
2009-01-01,3.31032
2009-04-01,2.91259
2009-07-01,1.98150
2009-10-01,0.94064
2010-01-01,0.31305
2010-04-01,-0.01660
2010-07-01,0.07095
2010-10-01,0.55546
2011-01-01,1.10793
2011-04-01,1.37495
2011-07-01,1.89935
2011-10-01,2.43514
2012-01-01,2.50659
2012-04-01,2.68804
2012-07-01,2.68985
2012-10-01,2.72527
2013-01-01,2.75157
2013-04-01,2.81496
2013-07-01,2.93005
2013-10-01,2.80648
2014-01-01,2.85997
2014-04-01,3.08751
2014-07-01,3.25043
2014-10-01,3.40200
2015-01-01,3.48855
2015-04-01,3.48767
2015-07-01,3.62928
2015-10-01,3.68722
2016-01-01,3.68071
2016-04-01,3.78004
2016-07-01,3.74665
2016-10-01,3.87713
2017-01-01,3.90267
2017-04-01,3.84776
2017-07-01,3.82438
2017-10-01,3.68655
2018-01-01,3.66031
2018-04-01,3.63382
2018-07-01,3.62262
2018-10-01,3.55366
2019-01-01,3.54280
2019-04-01,3.78848
2019-07-01,3.80038
2019-10-01,3.69329
2020-01-01,3.72644
2020-04-01,3.39662
2020-07-01,2.92833
2020-10-01,2.46414
2021-01-01,1.94466
2021-04-01,1.84653
2021-07-01,2.15418
