"GeoFips","GeoName","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"01000","Alabama",-30957,-38228,-39694,-44242,-40471,-47005,-53715,-52150,-53809,-74683,-57780,-29879,-39420,-45259,-62695,-88947,-73365,-77281,-99093,-125648,-219334,-202963,-198926,-248766,-325326,-333408,-286558,-251305,-282325,-273474,-395060,-314104,-317041,-310525,-308023
"02000","Alaska",-2693,-2996,-3036,-3252,-2996,-3111,-2937,-3385,-4033,-6136,-5388,-5291,-7368,-8197,-11448,-11853,-15743,-18816,-23657,-37071,-61711,-45509,-51506,-51246,-52999,-57289,-40734,-43983,-45807,-52055,-56989,-56834,-63747,-68241,-61264
"04000","Arizona",-20127,-25498,-26937,-29496,-32232,-41349,-42837,-39435,-39221,-55208,-37355,-20100,-22395,-25828,-44911,-62432,-54293,-68248,-85694,-114621,-182845,-188451,-197382,-252775,-353799,-345914,-277211,-263658,-270829,-284477,-392462,-309683,-366764,-352950,-361190
"05000","Arkansas",-31409,-46823,-42683,-60357,-48222,-60649,-63425,-70243,-57862,-82584,-60198,-18661,-25349,-28168,-56826,-98510,-48736,-44286,-64912,-89319,-185573,-203209,-179567,-247677,-339464,-376131,-260252,-211615,-218134,-247361,-321540,-250694,-284831,-298534,-292164
"06000","California",-181769,-242310,-244319,-319541,-306397,-362069,-365973,-383884,-387060,-602084,-461132,-346749,-477574,-560769,-848607,-1049307,-1086906,-1314919,-1507209,-1987754,-2928791,-2865153,-3009160,-3703673,-4722997,-4656747,-4285728,-4460702,-4455404,-4972340,-6220834,-5721570,-6087048,-6185260,-6008789
"08000","Colorado",-27164,-34528,-41400,-55122,-53847,-67819,-72539,-79430,-74750,-100892,-72222,-35090,-46702,-51348,-75197,-94844,-90398,-111697,-129676,-179616,-291756,-270651,-272244,-326156,-383600,-384603,-343699,-358703,-328948,-365606,-489787,-385043,-420356,-429421,-446870
"09000","Connecticut",-12714,-16182,-17936,-24654,-22913,-24773,-25729,-30385,-33325,-55224,-46879,-40605,-62095,-67311,-89702,-103553,-121440,-139276,-153094,-208470,-238963,-254536,-263058,-302346,-356681,-381929,-377028,-403558,-420273,-427695,-539257,-496448,-526221,-513769,-496213
"10000","Delaware",-5133,-6386,-7712,-8986,-9795,-9964,-13334,-11018,-11877,-19180,-17323,-13435,-23916,-23249,-31113,-34372,-36008,-38871,-43329,-53099,-72294,-71567,-66822,-87325,-92295,-104465,-94392,-87691,-87230,-90422,-109191,-99431,-104596,-101367,-101850
"11000","District of Columbia",-7236,-8532,-10499,-13546,-15031,-16810,-18995,-22969,-31398,-50260,-52812,-70749,-121748,-124624,-167035,-178531,-248855,-285435,-284999,-374567,-330597,-345524,-359479,-335443,-349256,-402816,-416108,-433027,-501020,-532732,-554291,-551729,-572164,-482752,-467578
"12000","Florida",-60672,-84685,-82577,-106986,-110671,-130294,-144472,-140693,-146471,-224086,-162931,-101136,-129537,-140905,-215151,-293290,-268630,-337971,-404175,-560844,-946830,-833899,-878754,-1106874,-1435783,-1426908,-1224973,-1094880,-1166549,-1262883,-1625153,-1373773,-1465598,-1464723,-1426686
