"SAGDP5N Subsidies 1/"
"Subsidies: All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"01000","Alabama",-274510,-292914,-388354,-364661,-475799,-504666,-467683,-416444,-560513,-503519,-458674,-431203,-525395,-464067,-518376,-504317,-479788,-490356,-467430,-548304,-574984,-489627,-617598,-8357989
"02000","Alaska",-62914,-54659,-56361,-57509,-112265,-72874,-103256,-91893,-104304,-101594,-97698,-91955,-116169,-119053,-136253,-130721,-124560,-134905,-129214,-130384,-107543,-111270,-112896,-1677161
"04000","Arizona",-330784,-363069,-414728,-426063,-552896,-440776,-601592,-539819,-699454,-629179,-611073,-641655,-805419,-700202,-756927,-702994,-732240,-741079,-698185,-713280,-748753,-801980,-834202,-13248974
"05000","Arkansas",-353602,-520088,-833921,-970683,-1136703,-732926,-1100840,-553049,-698276,-624217,-604511,-504094,-648536,-557124,-593337,-566973,-572122,-534769,-552948,-740181,-795242,-807211,-1181558,-4941821
"06000","California",-4792622,-4538264,-5041043,-4761753,-12587049,-5607389,-5708264,-5812073,-6632385,-6264550,-5978334,-6187464,-7376168,-7160257,-7370058,-6939987,-6942216,-7037075,-6831628,-7412121,-7464532,-7766465,-8032363,-101284903
"08000","Colorado",-542076,-617995,-746264,-729706,-885466,-635008,-865369,-703325,-960502,-802829,-749781,-811988,-893895,-896397,-997020,-972887,-1035912,-1056152,-998438,-1091016,-1137798,-1118927,-1213808,-14325085
"09000","Connecticut",-408906,-378236,-393775,-383916,-397620,-402566,-464034,-490280,-544337,-512533,-491854,-510023,-620947,-628453,-697391,-641398,-618270,-642377,-632709,-636458,-563583,-584199,-591367,-8482026
"10000","Delaware",-93428,-91567,-107028,-106609,-111686,-115457,-128748,-132507,-162046,-144745,-136190,-157102,-178713,-236692,-243812,-219463,-232003,-217627,-185291,-195259,-188524,-183998,-202786,-2144586
"11000","District of Columbia",-484226,-427483,-414768,-398618,-405708,-488637,-520853,-585209,-634578,-657645,-625876,-625502,-686406,-701168,-844381,-725015,-731466,-762888,-771875,-804179,-789110,-861216,-862497,-4174122
"12000","Florida",-1220748,-1226229,-1279770,-1259324,-1766386,-1578268,-1999916,-2210921,-2685900,-2346199,-2235046,-2134114,-2461265,-2162199,-2586017,-2437800,-2401012,-2355214,-2376122,-2538155,-2510293,-2622726,-2791381,-45537496
"13000","Georgia",-691836,-734707,-911976,-925257,-1281194,-1254344,-1347817,-981664,-1464586,-1249542,-1144742,-1162489,-1338276,-1158280,-1306662,-1310472,-1286357,-1269059,-1280458,-1455733,-1396730,-1360964,-1744311,-20652336
"15000","Hawaii",-185444,-164695,-151229,-154098,-260569,-152565,-214091,-165422,-208641,-199864,-199240,-205534,-243629,-224417,-246763,-239724,-239673,-254655,-251915,-247692,-241093,-246852,-258414,-4191695
"16000","Idaho",-142676,-222342,-246139,-289478,-260031,-219150,-222648,-225048,-285653,-228463,-210553,-240533,-276231,-277002,-254917,-258822,-277802,-235817,-225070,-283162,-300314,-310901,-332453,-3615179
"17000","Illinois",-1971431,-2255498,-3055288,-3153551,-3493286,-2200853,-2704483,-2871428,-3572484,-2902862,-2550189,-2688777,-2960032,-2867161,-3107017,-2985530,-3068214,-2719600,-2841988,-3459686,-2985127,-3429022,-4127094,-34238124
"18000","Indiana",-516692,-697443,-1067061,-1152911,-1256423,-708000,-883647,-987225,-1410341,-1052839,-824356,-846614,-965901,-929255,-1094001,-1066923,-1127755,-872188,-894519,-1254127,-1035649,-1194664,-1564775,-13059818
"19000","Iowa",-784522,-1163183,-1949543,-2159938,-2014134,-898763,-1187176,-1409204,-2327789,-1425926,-1115395,-1216875,-1260840,-1330081,-1312889,-1334335,-1376015,-1026945,-1703449,-1471298,-1178801,-1596202,-2467630,-8901028
"20000","Kansas",-616416,-904982,-1371246,-1228469,-1169561,-627398,-945942,-817994,-1278234,-876640,-823118,-990817,-988952,-960266,-999050,-1021679,-1294049,-1205681,-1029898,-1102627,-1106833,-1279213,-1938895,-7775953
"21000","Kentucky",-233319,-285669,-387183,-565276,-489138,-325503,-385762,-398980,-1034751,-711627,-590618,-596239,-672983,-624266,-691134,-694432,-698707,-634989,-516191,-548178,-565125,-555276,-731799,-7392186
"22000","Louisiana",-385782,-455298,-620011,-661244,-720619,-553082,-724425,-587137,-692145,-677779,-6476940,-3561633,-1633073,-1328884,-1015647,-810908,-765564,-645451,-618831,-732490,-684479,-667786,-790729,-10277421
"23000","Maine",-72599,-70329,-81020,-84381,-85599,-105612,-122372,-133144,-167324,-150606,-142473,-130554,-172908,-187517,-199412,-194234,-193293,-187962,-172901,-180064,-173303,-176445,-176715,-2435369
"24000","Maryland",-609807,-571212,-616855,-637273,-692872,-670123,-806096,-810988,-935373,-867407,-810321,-875604,-1048431,-1036130,-1141640,-1104311,-1106119,-1092789,-1062262,-1109158,-1096352,-1191979,-1267807,-14302618
"25000","Massachusetts",-916637,-895538,-936154,-902399,-1020388,-1065083,-1166515,-1182311,-1289343,-1229230,-1191709,-1276778,-1473159,-1504731,-1352470,-1653261,-1669624,-1673961,-1644147,-1734973,-1647996,-1707275,-1747435,-20205432
"26000","Michigan",-713479,-792111,-1004918,-936704,-1078197,-851019,-1060138,-1051969,-1343515,-1121232,-964476,-930355,-1109632,-1042919,-1250086,-1191169,-1201466,-1065782,-1137799,-1187137,-1163954,-1194313,-1357069,-21567269
"27000","Minnesota",-778768,-1183901,-1655925,-1746707,-1758942,-997122,-1359768,-1237958,-1919512,-1335446,-1161288,-1307344,-1370793,-1255010,-1388099,-1425465,-1522149,-1337660,-1806333,-1581237,-1465597,-1808637,-2335493,-16421350
