STATE,CODE
ALABAMA,LASST090000000000003
ALASKA,LASST020000000000003
ARIZONA,LASST040000000000003
ARKANSAS,LASST040000000000003
CALIFORNIA,LASST040000000000003
COLORADO,LASST080000000000003
CONNECTICUT,LASST090000000000003
DELAWARE,LASST100000000000003
DC,LASST110000000000003
Georgia,LASST130000000000003
Hawaii,LASST150000000000003
Idaho,LASST160000000000003
Illinois,LASST170000000000003
Indiana,LASST180000000000003
Iowa,LASST190000000000003
Kansas,LASST200000000000003
Kentucky,LASST210000000000003
Louisiana,LASST220000000000003
Maine,LASST230000000000003
Maryland,LASST240000000000003
Massachusetts,LASST250000000000003
Michigan,LASST260000000000003
Minnesota,LASST270000000000003
Mississippi,LASST280000000000003
Missouri,LASST290000000000003
Montana,LASST300000000000003
Nebraska,LASST310000000000003
Nevada,LASST320000000000003
New Hampshire,LASST330000000000003
New Jersey,LASST340000000000003
New Mexico,LASST350000000000003
New York,LASST360000000000003
North Carolina,LASST370000000000003
North Dakota,LASST380000000000003
Ohio,LASST390000000000003
Oklahoma,LASST400000000000003
Oregon,LASST410000000000003
Pennsylvania,LASST420000000000003
Rhode Island,LASST440000000000003
South Carolina,LASST450000000000003
South Dakoka,LASST460000000000003
Tennessee,LASST470000000000003
Texas,LASST480000000000003
Utah,LASST490000000000003
Vermont,LASST500000000000003
Virginia,LASST510000000000003
Washington,LASST530000000000003
West Virginia,LASST540000000000003
Wisconsin,LASST550000000000003
Wyoming,LASST560000000000003
